Year,POS,Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
2014,WR,Percy Harvin,Sea,13,51,483,9.47,37.2,45,1,23,78,259
2014,WR,Harry Douglas,Atl,12,51,556,10.9,46.3,41,2,28,74,238
2014,WR,Allen Hurns,Jax,16,51,677,13.27,42.3,63t,6,26,97,205
2014,WR,Coby Fleener,Ind,16,51,774,15.18,48.4,73t,8,40,92,295
2014,WR,Jordan Reed,Was,11,50,465,9.3,42.3,30,0,23,65,284
2014,WR,Wes Welker,Den,14,49,464,9.47,33.1,39t,2,24,64,193
2014,WR,Torrey Smith,Bal,16,49,767,15.65,47.9,53,11,38,92,167
2014,WR,Owen Daniels,Bal,15,48,527,10.98,35.1,39,4,32,79,177
2014,WR,Allen Robinson,Jax,10,48,548,11.42,54.8,54,2,26,81,159
2014,WR,Jerricho Cotchery,Car,15,48,580,12.08,38.7,47,1,29,78,199
2014,WR,John Brown,Ari,16,48,696,14.5,43.5,75t,5,31,103,180
2014,WR,Kenny Britt,Stl,16,48,748,15.58,46.8,63t,3,33,84,166
2014,WR,Scott Chandler,Buf,16,47,497,10.57,31.1,37,3,28,70,193
2014,WR,Miles Austin,Cle,12,47,568,12.09,47.3,31,2,34,72,200
2014,WR,Andre Holmes,Oak,16,47,693,14.74,43.3,77t,4,32,98,193
2014,WR,Michael Floyd,Ari,16,47,841,17.89,52.6,63,6,34,99,116
2014,WR,Andre Ellington,Ari,12,46,395,8.59,32.9,81t,2,19,64,365
2014,WR,Benny Cunningham,Stl,16,45,352,7.82,22,19,1,21,53,306
2014,WR,Pierre Thomas,NO,11,45,378,8.4,34.4,39,1,19,55,424
2014,WR,Justin Forsett,Bal,16,44,263,5.98,16.4,26,0,10,59,326
2014,WR,Matt Asiata,Min,15,44,312,7.09,20.8,41,1,7,63,337
2014,WR,Giovani Bernard,Cin,13,43,349,8.12,26.8,46,2,13,59,362
2014,WR,Julius Thomas,Den,13,43,489,11.37,37.6,35t,12,30,62,162
2014,WR,Eddie Lacy,GB,16,42,427,10.17,26.7,67,4,17,55,432
2014,WR,Roy Helu,Was,14,42,477,11.36,34.1,55,2,16,47,486
2014,WR,Jarius Wright,Min,16,42,588,14,36.8,87t,2,25,62,327
2014,WR,Chris Hogan,Buf,16,41,426,10.39,26.6,31,4,20,61,180
2014,WR,Reggie Bush,Det,11,40,253,6.33,23,28,0,13,56,252
2014,WR,Jamaal Charles,KC,15,40,291,7.28,19.4,30t,5,15,59,314
2014,WR,Darren Sproles,Phi,15,40,387,9.68,25.8,57,0,17,62,404
2014,WR,Nate Washington,Ten,16,40,647,16.18,40.4,80t,2,26,72,140
2014,WR,Brian Hartline,Mia,16,39,474,12.15,29.6,35,2,27,63,121
2014,WR,Niles Paul,Was,16,39,507,13,31.7,50,1,19,52,258
2014,WR,Lamar Miller,Mia,16,38,275,7.24,17.2,20,1,10,52,243
2014,WR,Travaris Cadet,NO,15,38,296,7.79,19.7,31,1,15,51,244
2014,WR,Ahmad Bradshaw,Ind,10,38,300,7.89,30,22,6,20,47,333
2014,WR,Arian Foster,Hou,13,38,327,8.61,25.2,56t,5,15,59,259
2014,WR,Jace Amaro,NYJ,14,38,345,9.08,24.6,43,2,20,53,167
2014,WR,Hakeem Nicks,Ind,16,38,405,10.66,25.3,29,4,18,68,130
2014,WR,Jeremy Kerley,NYJ,16,38,409,10.76,25.6,33,1,20,75,150
2014,WR,Davante Adams,GB,16,38,446,11.74,27.9,45,3,23,66,173
2014,WR,Devin Hester,Atl,16,38,504,13.26,31.5,46,2,21,59,257
2014,WR,Jermaine Kearse,Sea,15,38,537,14.13,35.8,60,1,21,69,223
2014,WR,Marcel Reece,Oak,15,37,265,7.16,17.7,19,1,12,59,202
2014,WR,Marshawn Lynch,Sea,16,37,367,9.92,22.9,39,4,16,48,404
2014,WR,Cole Beasley,Dal,16,37,420,11.35,26.2,45t,4,26,49,246
2014,WR,Marqise Lee,Jax,13,37,422,11.41,32.5,37,1,20,68,178
2014,WR,Terrance Williams,Dal,16,37,621,16.78,38.8,51,8,30,65,110
2014,WR,Darren McFadden,Oak,16,36,212,5.89,13.2,23,0,8,56,261
2014,WR,Branden Oliver,SD,14,36,271,7.53,19.4,50,1,11,45,337
2014,WR,Preston Parker,NYG,16,36,418,11.61,26.1,42,2,25,56,118
2014,WR,Andre Roberts,Was,16,36,453,12.58,28.3,61,2,28,73,207
2014,WR,Taylor Gabriel,Cle,16,36,621,17.25,38.8,70,1,26,72,255
2014,WR,Stevie Johnson,SF,13,35,435,12.43,33.5,32,3,24,50,185
2014,WR,Theo Riddick,Det,14,34,316,9.29,22.6,41,4,14,50,305
2014,WR,Joique Bell,Det,15,34,322,9.47,21.5,28,1,14,53,337
2014,WR,C.J. Anderson,Den,15,34,324,9.53,21.6,51t,2,13,44,281
2014,WR,Jason Avant,KC,16,34,353,10.38,22.1,41,1,19,62,146
2014,WR,Bobby Rainey,TB,15,33,315,9.55,21,34,1,12,45,278
2014,WR,John Carlson,Ari,16,33,350,10.61,21.9,32,1,17,55,143
2014,WR,Cordarrelle Patterson,Min,16,33,384,11.64,24,28,1,20,67,159
2014,WR,Brent Celek,Phi,16,32,340,10.62,21.2,37,1,16,51,132
