Team,Year,Season,Week,Opponent,Outcome,Score,Points For,Points Against,Margin of Victory,Opponent Name,Real Opponent Name,
The Wolf of Greek St,2016,6,7,avatar The Mighty Albatross,Win,132.84 - 62.44,132.84, 62.44,70.4,The Mighty Albatross,The Mighty Albatross,
The Wolf of Greek St,2016,6,8,avatar Milk Man,Win,123.82 - 82.88,123.82, 82.88,40.94,Milk Man,Milk Man,
The Wolf of Greek St,2016,6,9,avatar The People's Champ,Win,129.76 - 95.82,129.76, 95.82,33.94,The People's Champ,The People's Champ,
The Wolf of Greek St,2016,6,10,avatar Poppy's Champions,Loss,105.02 - 108.44,105.02,108.44,-3.42,Poppy's Champions,Poppy's Champions,
The Wolf of Greek St,2016,6,11,avatar Commissioner Gordon,Loss,82.68 - 90.80,82.68 , 90.80,-8.12,Commissioner Gordon,Commissioner Gordon,
The Wolf of Greek St,2016,6,12,avatar richard,Loss,89.54 - 89.90,89.54 , 89.90,-0.36,richard,richard,
The Wolf of Greek St,2016,6,13,avatar Black Mass,Win,110.46 - 99.90,110.46, 99.90,10.56,Black Mass,Black Mass,
Surace,2015,5,1,avatar GhostingTheLombardi,Loss,92.90 - 107.04,92.90 ,107.04,-14.14,GhostingTheLombardi,GhostingTheLombardi,
Surace,2015,5,2,avatar richard,Loss,101.44 - 116.60,101.44,116.60,-15.16,richard,richard,
Surace,2015,5,3,avatar Poppy's Champions,Loss,99.76 - 151.08,99.76 ,151.08,-51.32,Poppy's Champions,Poppy's Champions,
Surace,2015,5,4,avatar The People's Champ,Win,75.72 - 75.12,75.72 , 75.12,0.6,The People's Champ,The People's Champ,
Surace,2015,5,5,avatar The Wolf of Greek St,Win,116.74 - 91.52,116.74, 91.52,25.22,The Wolf of Greek St,The Wolf of Greek St,
Surace,2015,5,6,avatar Milk Man,Loss,97.00 - 108.54,97.00 ,108.54,-11.54,Milk Man,Milk Man,
Surace,2015,5,7,avatar The Black Shepherd,Loss,102.40 - 127.14,102.40,127.14,-24.74,The Black Shepherd,The Black Shepherd,
Surace,2015,5,8,avatar GhostingTheLombardi,Win,116.00 - 99.14,116.00, 99.14,16.86,GhostingTheLombardi,GhostingTheLombardi,
Surace,2015,5,9,avatar The Mighty Albatross,Loss,96.02 - 111.84,96.02 ,111.84,-15.82,The Mighty Albatross,The Mighty Albatross,
Surace,2015,5,10,avatar Dune Squad,Win,130.04 - 70.96,130.04, 70.96,59.08,Dune Squad,Dune Squad,
Surace,2015,5,11,avatar richard,Win,88.32 - 65.66,88.32 , 65.66,22.66,richard,richard,
Surace,2015,5,12,avatar Poppy's Champions,Loss,132.04 - 140.18,132.04,140.18,-8.14,Poppy's Champions,Poppy's Champions,
Surace,2015,5,13,avatar Milk Man,Loss,133.98 - 135.76,133.98,135.76,-1.78,Milk Man,Milk Man,
Commisioner Gordan,2015,5,1,avatar Dune Squad,Loss,123.20 - 137.92,123.20,137.92,-14.72,Dune Squad,Dune Squad,
Commisioner Gordan,2015,5,2,avatar The Mighty Albatross,Loss,88.90 - 100.38,88.90 ,100.38,-11.48,The Mighty Albatross,The Mighty Albatross,
Commisioner Gordan,2015,5,3,avatar Black Mass,Win,114.98 - 106.40,114.98,106.40,8.58,Black Mass,Black Mass,
Commisioner Gordan,2015,5,4,avatar Milk Man,Win,126.24 - 93.58,126.24, 93.58,32.66,Milk Man,Milk Man,
Commisioner Gordan,2015,5,5,avatar Poppy's Champions,Win,137.34 - 100.74,137.34,100.74,36.6,Poppy's Champions,Poppy's Champions,
Commisioner Gordan,2015,5,6,avatar The Wolf of Greek St,Loss,83.28 - 106.70,83.28 ,106.70,-23.42,The Wolf of Greek St,The Wolf of Greek St,
Commisioner Gordan,2015,5,7,avatar The People's Champ,Loss,101.40 - 152.38,101.40,152.38,-50.98,The People's Champ,The People's Champ,
Commisioner Gordan,2015,5,8,avatar Dune Squad,Win,153.80 - 96.84,153.80, 96.84,56.96,Dune Squad,Dune Squad,
Commisioner Gordan,2015,5,9,avatar GhostingTheLombardi,Win,122.58 - 121.16,122.58,121.16,1.42,GhostingTheLombardi,GhostingTheLombardi,
Commisioner Gordan,2015,5,10,avatar The Black Shepherd,Loss,72.36 - 121.24,72.36 ,121.24,-48.88,The Black Shepherd,The Black Shepherd,
Commisioner Gordan,2015,5,11,avatar The Mighty Albatross,Loss,103.58 - 113.64,103.58,113.64,-10.06,The Mighty Albatross,The Mighty Albatross,
Commisioner Gordan,2015,5,12,avatar Black Mass,Win,129.58 - 94.16,129.58, 94.16,35.42,Black Mass,Black Mass,
Commisioner Gordan,2015,5,13,avatar The Wolf of Greek St,Loss,86.00 - 99.88,86.00 , 99.88,-13.88,The Wolf of Greek St,The Wolf of Greek St,
Black Mass,2015,5,1,avatar The People's Champ,Loss,86.12 - 89.74,86.12 , 89.74,-3.62,The People's Champ,The People's Champ,
Black Mass,2015,5,2,avatar Dune Squad,Loss,87.32 - 109.94,87.32 ,109.94,-22.62,Dune Squad,Dune Squad,
Black Mass,2015,5,3,avatar Commissioner Gordon,Loss,106.40 - 114.98,106.40,114.98,-8.58,Commissioner Gordon,Commissioner Gordon,
Black Mass,2015,5,4,avatar richard,Win,106.34 - 68.02,106.34, 68.02,38.32,richard,richard,
Black Mass,2015,5,5,avatar Milk Man,Loss,69.36 - 82.52,69.36 , 82.52,-13.16,Milk Man,Milk Man,
Black Mass,2015,5,6,avatar The Mighty Albatross,Loss,99.70 - 126.94,99.70 ,126.94,-27.24,The Mighty Albatross,The Mighty Albatross,
Black Mass,2015,5,7,avatar The Wolf of Greek St,Loss,96.34 - 125.38,96.34 ,125.38,-29.04,The Wolf of Greek St,The Wolf of Greek St,
Black Mass,2015,5,8,avatar The People's Champ,Win,127.58 - 93.80,127.58, 93.80,33.78,The People's Champ,The People's Champ,
Black Mass,2015,5,9,avatar Poppy's Champions,Win,175.82 - 120.76,175.82,120.76,55.06,Poppy's Champions,Poppy's Champions,
Black Mass,2015,5,10,avatar GhostingTheLombardi,Win,121.92 - 77.78,121.92, 77.78,44.14,GhostingTheLombardi,GhostingTheLombardi,
Black Mass,2015,5,11,avatar Dune Squad,Win,105.88 - 102.38,105.88,102.38,3.5,Dune Squad,Dune Squad,
Black Mass,2015,5,12,avatar Commissioner Gordon,Loss,94.16 - 129.58,94.16 ,129.58,-35.42,Commissioner Gordon,Commissioner Gordon,
Black Mass,2015,5,13,avatar The Mighty Albatross,Loss,131.38 - 131.60,131.38,131.60,-0.22,The Mighty Albatross,The Mighty Albatross,
Dune Squad,2015,5,1,avatar Commissioner Gordon,Win,137.92 - 123.20,137.92,123.20,14.72,Commissioner Gordon,Commissioner Gordon,
Dune Squad,2015,5,2,avatar Black Mass,Win,109.94 - 87.32,109.94, 87.32,22.62,Black Mass,Black Mass,
Dune Squad,2015,5,3,avatar The Wolf of Greek St,Loss,94.72 - 136.20,94.72 ,136.20,-41.48,The Wolf of Greek St,The Wolf of Greek St,
Dune Squad,2015,5,4,avatar Poppy's Champions,Loss,98.96 - 101.36,98.96 ,101.36,-2.4,Poppy's Champions,Poppy's Champions,
Dune Squad,2015,5,5,avatar GhostingTheLombardi,Loss,68.80 - 95.64,68.80 , 95.64,-26.84,GhostingTheLombardi,GhostingTheLombardi,
Dune Squad,2015,5,6,avatar The People's Champ,Loss,110.08 - 118.44,110.08,118.44,-8.36,The People's Champ,The People's Champ,
Dune Squad,2015,5,7,avatar The Mighty Albatross,Win,124.10 - 89.20,124.10, 89.20,34.9,The Mighty Albatross,The Mighty Albatross,
Dune Squad,2015,5,8,avatar Commissioner Gordon,Loss,96.84 - 153.80,96.84 ,153.80,-56.96,Commissioner Gordon,Commissioner Gordon,
Dune Squad,2015,5,9,avatar The Black Shepherd,Win,95.72 - 70.70,95.72 , 70.70,25.02,The Black Shepherd,The Black Shepherd,
Dune Squad,2015,5,10,avatar Surace,Loss,70.96 - 130.04,70.96 ,130.04,-59.08,Surace,Surace,
Dune Squad,2015,5,11,avatar Black Mass,Loss,102.38 - 105.88,102.38,105.88,-3.5,Black Mass,Black Mass,
Dune Squad,2015,5,12,avatar The Wolf of Greek St,Win,130.90 - 120.42,130.90,120.42,10.48,The Wolf of Greek St,The Wolf of Greek St,
Dune Squad,2015,5,13,avatar The People's Champ,Win,130.28 - 124.24,130.28,124.24,6.04,The People's Champ,The People's Champ,
GhostingTheLombardi,2015,5,1,avatar Surace,Win,107.04 - 92.90,107.04, 92.90,14.14,Surace,Surace,
GhostingTheLombardi,2015,5,2,avatar Milk Man,Loss,95.00 - 96.84,95.00 , 96.84,-1.84,Milk Man,Milk Man,
GhostingTheLombardi,2015,5,3,avatar richard,Win,115.92 - 80.90,115.92, 80.90,35.02,richard,richard,
GhostingTheLombardi,2015,5,4,avatar The Mighty Albatross,Loss,79.34 - 110.38,79.34 ,110.38,-31.04,The Mighty Albatross,The Mighty Albatross,
GhostingTheLombardi,2015,5,5,avatar Dune Squad,Win,95.64 - 68.80,95.64 , 68.80,26.84,Dune Squad,Dune Squad,
GhostingTheLombardi,2015,5,6,avatar The Black Shepherd,Loss,103.22 - 137.82,103.22,137.82,-34.6,The Black Shepherd,The Black Shepherd,
GhostingTheLombardi,2015,5,7,avatar Poppy's Champions,Loss,114.54 - 126.42,114.54,126.42,-11.88,Poppy's Champions,Poppy's Champions,
GhostingTheLombardi,2015,5,8,avatar Surace,Loss,99.14 - 116.00,99.14 ,116.00,-16.86,Surace,Surace,
GhostingTheLombardi,2015,5,9,avatar Commissioner Gordon,Loss,121.16 - 122.58,121.16,122.58,-1.42,Commissioner Gordon,Commissioner Gordon,
GhostingTheLombardi,2015,5,10,avatar Black Mass,Loss,77.78 - 121.92,77.78 ,121.92,-44.14,Black Mass,Black Mass,
GhostingTheLombardi,2015,5,11,avatar Milk Man,Win,80.70 - 74.08,80.70 , 74.08,6.62,Milk Man,Milk Man,
GhostingTheLombardi,2015,5,12,avatar richard,Loss,97.12 - 123.70,97.12 ,123.70,-26.58,richard,richard,
GhostingTheLombardi,2015,5,13,avatar The Black Shepherd,Win,94.90 - 83.84,94.90 , 83.84,11.06,The Black Shepherd,The Black Shepherd,
Milk Man,2015,5,1,avatar Poppy's Champions,Loss,100.34 - 131.54,100.34,131.54,-31.2,Poppy's Champions,Poppy's Champions,
Milk Man,2015,5,2,avatar GhostingTheLombardi,Win,96.84 - 95.00,96.84 , 95.00,1.84,GhostingTheLombardi,GhostingTheLombardi,
Milk Man,2015,5,3,avatar The Black Shepherd,Win,139.20 - 103.72,139.20,103.72,35.48,The Black Shepherd,The Black Shepherd,
Milk Man,2015,5,4,avatar Commissioner Gordon,Loss,93.58 - 126.24,93.58 ,126.24,-32.66,Commissioner Gordon,Commissioner Gordon,
Milk Man,2015,5,5,avatar Black Mass,Win,82.52 - 69.36,82.52 , 69.36,13.16,Black Mass,Black Mass,
Milk Man,2015,5,6,avatar Surace,Win,108.54 - 97.00,108.54, 97.00,11.54,Surace,Surace,
Milk Man,2015,5,7,avatar richard,Win,97.20 - 79.02,97.20 , 79.02,18.18,richard,richard,
Milk Man,2015,5,8,avatar Poppy's Champions,Loss,87.34 - 93.18,87.34 , 93.18,-5.84,Poppy's Champions,Poppy's Champions,
Milk Man,2015,5,9,avatar The People's Champ,Loss,84.08 - 98.66,84.08 , 98.66,-14.58,The People's Champ,The People's Champ,
Milk Man,2015,5,10,avatar The Wolf of Greek St,Loss,74.30 - 89.98,74.30 , 89.98,-15.68,The Wolf of Greek St,The Wolf of Greek St,
Milk Man,2015,5,11,avatar GhostingTheLombardi,Loss,74.08 - 80.70,74.08 , 80.70,-6.62,GhostingTheLombardi,GhostingTheLombardi,
Milk Man,2015,5,12,avatar The Black Shepherd,Win,93.84 - 88.40,93.84 , 88.40,5.44,The Black Shepherd,The Black Shepherd,
Milk Man,2015,5,13,avatar Surace,Win,135.76 - 133.98,135.76,133.98,1.78,Surace,Surace,
Poppy's Champions,2015,5,1,avatar Milk Man,Win,131.54 - 100.34,131.54,100.34,31.2,Milk Man,Milk Man,
