player,position,team,vor,points,overallECR,overallRank,positionRank,dropoff,adp,adpdiff,auctionValue,upper,lower,risk
Marlon Brown,WR,BAL,-77.2767,42.8855,null,846,109,2.4638,230.07,-615.93,1,51.806,33.965,1.8755
Jarius Wright,WR,MIN,-58.5103,61.6519,240,637,88,2.9717,261.33,-375.67,0.5,68.6031,54.7008,1.2389
Donte Moncrief,WR,IND,-47.058,73.1042,165,487,71,0.196,135.285,-351.715,3.0333,81.7966,64.4119,1.911
James Starks,RB,GB,-62.5622,66.2936,223,678,58,0.1401,190.495,-487.505,1,69.9147,62.6725,1.7402
Karlos Williams,RB,BUF,-112.9031,15.9527,null,1300,121,1.2473,113.39,-1227.61,0.5,21.3425,10.5629,5.2048
Stevan Ridley,RB,NYJ,-64.453,64.4029,185,695,61,1.2184,170.635,-524.365,1.5,74.3268,54.479,1.9621
Broncos,DEF,DEN,-87.7301,111.0794,210,968,12,0.5956,144.34,-823.66,1.4333,118.2425,103.9163,6.6373
DeAndre Smelter,WR,SF,-113.5776,6.5846,null,1312,195,0.1981,97.07,-1255.93,0.5,10.3638,2.8054,6.0814
Kenny Bell,WR,TB,-103.7693,16.3929,null,1195,149,0.2153,100.31,-1135.69,0.5,23.749,9.0369,5.3415
Dorial Green-Beckham,WR,TEN,-49.7157,70.4465,176,520,74,0.498,120.4375,-399.5625,2.6667,79.6965,61.1966,2.1262
Browns,DEF,CLE,-89.6398,109.1697,null,993,15,0.374,165.25,-848.75,1,136.4218,81.9176,5.7851
Dolphins,DEF,MIA,-88.0757,110.7338,228,972,13,1.032,139.925,-853.075,1.2,121.5542,99.9134,6.6876
Raiders,DEF,OAK,-109.5556,89.2539,null,1262,32,null,234.26,-1068.74,0.5,103.2191,75.2887,4.9203
Trent Richardson,RB,OAK,-88.7286,40.1272,216,979,86,1.1239,188.53,-811.47,1,49.1356,31.1188,2.331
Jamison Crowder,WR,WAS,-106.488,13.6742,null,1229,160,0.414,130.26,-1139.74,0,18.3446,9.0039,4.0903
Chiefs,DEF,KC,-91.2934,107.5161,231,1019,20,0.3842,158.7925,-881.2075,0.3333,127.3867,87.6455,5.9797
Colts,DEF,IND,-89.9755,108.834,null,999,16,0.1781,173.4233,-846.5767,0.5,118.126,99.542,5.2471
Cowboys,DEF,DAL,-88.5756,110.2339,null,977,14,1.2321,157.1975,-840.8025,0.3333,118.1505,102.3173,5.6619
Ronnie Hillman,RB,DEN,-76.6486,52.2073,199,842,71,0.9324,223.87,-618.13,1,62.3248,42.0897,1.6235
Jeff Janis,WR,GB,-98.5596,21.6027,null,1112,137,0.6346,211.64,-921.36,1,31.2496,11.9557,2.221
Reggie Bush,RB,SF,-51.323,77.5328,129,543,50,2.6482,127.82,-415.18,2.0667,84.3938,70.6719,1.8858
Danny Woodhead,RB,SD,-41.1958,87.66,141,398,45,1.5097,136.9275,-261.0725,1.7667,94.3077,81.0123,1.4129
Ryan Williams,RB,DAL,-108.2354,20.6204,null,1249,111,1.3811,164.755,-1125.245,0.7,36.7906,4.4503,3.0607
Paul Richardson,WR,SEA,-94.4352,25.7271,null,1065,130,0.6619,246.77,-839.23,0.5,33.0865,18.3676,1.8015
Darren Sproles,RB,PHI,-42.9837,85.8721,159,424,47,5.5559,136.1425,-287.8575,1.7333,90.3643,81.3799,1.4625
Steelers,DEF,PIT,-99.2895,99.52,null,1129,28,0.7824,170.62,-979.38,1.5,107.8382,91.2018,5.6584
James White,RB,NE,-78.4853,50.3706,213,861,74,2.3944,170.21,-690.79,0.6667,61.8626,38.8785,2.0916
Chargers,DEF,SD,-102.5476,96.2619,null,1177,31,null,226.71,-971.29,0.5,110.039,82.4848,4.3413
Montee Ball,RB,DEN,-57.3581,71.4977,180,611,55,3.5756,131.995,-479.005,1.8333,80.769,62.2264,1.9469
Darren Waller,WR,BAL,-112.713,7.4492,null,1294,184,0.0969,104.65,-1230.35,0.5,10.2338,4.6646,4.8223
Redskins,DEF,WAS,-100.4906,98.3189,null,1153,30,5.561,235.08,-938.92,0.5,112.034,84.6038,3.8211
Stefon Diggs,WR,MIN,-107.9978,12.1645,null,1245,168,0.327,112.73,-1173.27,0.5,16.3467,7.9823,4.0703
Alfred Blue,RB,HOU,-62.6009,66.2549,191,679,59,1.0273,160.2567,-518.7433,1,74.9491,57.5606,1.621
Zach Zenner,RB,DET,-123.9224,4.9334,null,1529,171,0.1213,107.56,-1513.44,0.5,10.9673,-1.1005,4.6697
Knile Davis,RB,KC,-40.3318,88.524,155,385,43,0.8257,121.0767,-263.9233,2.1667,96.2545,80.7935,1.35
Vikings,DEF,MIN,-99.0385,99.771,null,1124,27,0.4329,162.0425,-982.9575,1.0667,109.6356,89.9064,5.0594
Ravens,DEF,BAL,-86.5796,112.2299,239,950,10,0.6705,151.48,-798.52,0.7333,129.09,95.3698,4.6793
Jeremy Langford,RB,CHI,-107.6759,21.1799,null,1240,108,0.3154,105.8,-1175.2,0.5,32.2468,10.113,3.9331
Denard Robinson,RB,JAC,-55.2017,73.6541,178,586,54,3.3724,145.3075,-440.6925,1.4,81.5184,65.7898,1.4551
Rams,DEF,STL,-78.217,120.5925,175,858,7,3.2493,118.82,-739.18,1.9667,139.1166,102.0684,5.275
Mike Davis,RB,SF,-112.2257,16.6302,null,1288,118,0.3834,122.55,-1206.45,0.5,26.9174,6.343,3.3699
Jerick McKinnon,RB,MIN,-67.8911,60.9648,170,735,66,6.3647,138.8267,-596.1733,2.0333,71.3385,50.591,1.7684
Devin Smith,WR,NYJ,-57.2628,62.8994,258,609,85,0.5076,111.22,-497.78,1.5,75.2544,50.5445,1.8528
49ers,DEF,SF,-91.43,107.3795,null,1020,21,1.3633,162.6667,-878.3333,0.6667,126.3369,88.4221,4.2004
Bills,DEF,BUF,-73.4497,125.3598,167,800,4,3.474,100.835,-699.165,3,146.3611,104.3585,5.2618
Tyler Gaffney,RB,NE,-114.2027,14.6531,null,1328,123,0.1449,221.39,-1147.61,0.5,28.2785,1.0277,1.7487
KaDeem Carey,RB,CHI,-95.0138,33.842,null,1069,93,1.3244,223.78,-866.22,1,43.4422,24.2418,1.4289
Cordarrelle Patterson,WR,MIN,-56.4611,63.7011,201,601,84,1.0004,148.9967,-452.0033,2,71.1199,56.2824,1.2909
Lorenzo Taliaferro,RB,BAL,-67.4847,61.3711,183,726,65,3.4944,166.7,-559.3,1.0333,67.3276,55.4146,1.3127
Patriots,DEF,NE,-90.3469,108.4626,200,1009,19,1.0148,145.2575,-884.7425,1.4667,129.5897,87.3355,4.2238
Jay Ajayi,RB,MIA,-47.9696,80.8863,144,497,48,2.2467,113.2733,-383.7267,2.4333,89.4002,72.3723,1.3522
Robert Turbin,RB,SEA,-79.2297,49.6262,254,869,75,3.8853,224.62,-644.38,0.5,55.0552,44.1971,1.1064
Justin Hardy,WR,ATL,-73.459,46.7032,null,801,105,0.3653,117.01,-683.99,1,54.8246,38.5818,1.985
Tre McBride,WR,TEN,-115.4517,4.7105,null,1353,211,0.1263,100.64,-1293.36,0.5,6.1027,3.3183,3.6065
Lions,DEF,DET,-86.7702,112.0393,null,952,11,1.1327,159.0067,-792.9933,0.6667,131.8358,92.2428,3.5137
Rashad Greene,WR,JAC,-97.7012,22.4611,null,1099,135,0.6927,109.38,-1010.62,0.5,33.2035,11.7186,2.5803
Packers,DEF,GB,-81.6986,117.1109,230,895,9,4.9763,153.5675,-741.4325,1,134.8157,99.4061,3.1057
Matt Asiata,RB,MIN,-90.8416,38.0143,null,1014,88,0.7573,227.32,-807.68,0.5,46.4231,29.6054,1.0956
DeAngelo Williams,RB,PIT,-62.077,66.7788,174,670,57,0.5045,135.8675,-534.1325,1.4667,73.753,59.8046,0.9843
Christine Michael,RB,SEA,-98.5359,30.32,null,1111,97,0.5541,175.13,-956.87,1.5,36.2516,24.3883,0.9809
