Year,POS,Player,Team,Sack
2016,DEF,Donald Butler,Mia,0
2016,DEF,Drew Butler,Ari,0
2016,DEF,Vernon Butler,Car,1.5
2016,DEF,Crezdon Butler,Det,0
2016,DEF,Kevin Byard,Ten,1
2016,DEF,Josh Bynes,Det,0
2016,DEF,Travaris Cadet,NO,0
2016,DEF,Shilique Calhoun,Oak,0.5
2016,DEF,Bryce Callahan,Chi,0
2016,DEF,Jordan Cameron,Mia,0
2016,DEF,Ibraheim Campbell,Cle,0
2016,DEF,Maurice Canady,Bal,0
2016,DEF,A.J. Cann,Jax,0
2016,DEF,Marcus Cannon,NE,0
2016,DEF,Tank Carder,Cle,0
2016,DEF,Joe Cardona,NE,0
2016,DEF,Don Carey,Det,0
2016,DEF,Dan Carpenter,Buf,0
2016,DEF,James Carpenter,NYJ,0
2016,DEF,Cornellius Carradine,SF,0
2016,DEF,Ryan Carrethers,SD,0
2016,DEF,Derek Carrier,Was,0
2016,DEF,Bruce Carter,NYJ,0
2016,DEF,Chris Carter,Ind,0
2016,DEF,Jurrell Casey,Ten,5
2016,DEF,Jeremy Cash,Car,0
2016,DEF,Jonathan Casillas,NYG,1.5
2016,DEF,Anthony Castonzo,Ind,0
2016,DEF,Chandler Catanzaro,Ari,0
2016,DEF,Mike Catapano,NYJ,0
2016,DEF,Brent Celek,Phi,0
2016,DEF,Garrett Celek,SF,0
2016,DEF,Stefan Charles,Det,0
2016,DEF,Chimdi Chekwa,Mia,0
2016,DEF,Chris Chester,Atl,0
2016,DEF,Anthony Chickillo,Pit,2.5
2016,DEF,Marqui Christian,LA,0
2016,DEF,Kenny Clark,GB,0
2016,DEF,Frank Clark,Sea,10
2016,DEF,Will Clarke,Cin,4
2016,DEF,Adrian Clayborn,Atl,4.5
2016,DEF,Jadeveon Clowney,Hou,6
2016,DEF,Sammie Coates,Pit,0
2016,DEF,Randall Cobb,GB,0
2016,DEF,Ross Cockrell,Pit,0
2016,DEF,Audie Cole,Min,0
2016,DEF,Trent Cole,Ind,2
2016,DEF,Brandon Coleman,NO,0
2016,DEF,Corey Coleman,Cle,0
2016,DEF,Deandre Coleman,Buf,0
2016,DEF,Justin Coleman,NE,0
2016,DEF,Maliek Collins,Dal,5
2016,DEF,Alex Collins,Sea,0
2016,DEF,Aaron Colvin,Jax,1
2016,DEF,Jon Condo,Oak,0
2016,DEF,Chris Conley,KC,0
2016,DEF,Jared Cook,GB,0
2016,DEF,Amari Cooper,Oak,0
2016,DEF,Pharoh Cooper,LA,0
2016,DEF,Xavier Cooper,Cle,0
2016,DEF,Brandon Copeland,Det,0
2016,DEF,Cody Core,Cin,0
2016,DEF,Kamalei Correa,Bal,0
2016,DEF,Blake Countess,LA,1
2016,DEF,Christian Covington,Hou,1
2016,DEF,James Cowser,Oak,1
2016,DEF,Fletcher Cox,Phi,6.5
2016,DEF,Morgan Cox,Bal,0
2016,DEF,Brock Coyle,Sea,1
2016,DEF,Jack Crawford,Dal,3.5
2016,DEF,Tyrone Crawford,Dal,4.5
2016,DEF,Ken Crawley,NO,0
2016,DEF,Jared Crick,Den,3
2016,DEF,Antonio Cromartie,Ind,0
2016,DEF,Marcus Cromartie,SF,0
2016,DEF,Mason Crosby,GB,0
2016,DEF,Alan Cross,TB,0
2016,DEF,Jamison Crowder,Was,0
2016,DEF,Isaiah Crowell,Cle,0
2016,DEF,Victor Cruz,NYG,0
2016,DEF,Benny Cunningham,LA,0
